message_key,message_text
53f70edf93fc21a7,@unknown_user :taco: :taco: :taco: All the WLA work!
ab95302bbe6f8f7c,:taco: @Sean Emmerson Thank you for repeatedly saving the day on all ESG Power BI requests :raised_hands:
3bcc6406249ba70e,"_[scheduled for when I had enough tacos lol]_ Huge kudos to the Vail team for slaying through 50+ QA Tickets in glitchy lower environments across App and Freeride sites, navigating multiple test users, staging delays, and glitchy debugging tools, while investigating a mysterious data collection issue impacting the very features our client is actively testing, AND working late hours on the Friday before Christmas. _There’s no other team I’d rather be in the trenches with!_ :heart_hands::skin-tone-5:  @Astha Saxena :taco: @Samuel Pratt :taco: @Alex Krumins :taco:\n@Hannah Alexander :taco: - for advising and conducting year-end Invoicing Plans  a literal sick bed (which we should never condone), but your dedication to our clients has always been _‘top 2, not 2’._\n@Daniel Bunch :taco: - for jumping in on the Invoicing action with ease."
ce4232ee65b4541d,I'd like to bestow a taco on each of my players for your feats in combat and creative problem solving:\n\n• @Victoria Stephen \n• @Samuel Pratt \n• @Kate Marxkors \n• @Liam Huffman \n• @Tracy Burns-Yocum \nMay your path be guided by the deliciousness of virtual Mexican cuisine :taco:
c926f493df79d719,@Steve Bubb :taco::taco::taco::taco::taco:
ec8b92c73806ab78,#kudos to @Samuel Pratt @Samantha Herrington @Josh Prock @Scott Sanders @Liz King for their work simplifying the config file for the Bundles Report - they were able to cut the number of calcs to about 1/8th of what it was originally by leveraging set analysis :qliksense-party-parrot::taco:
2ed214dc88a34695,@Heather Schaefer @unknown_user :taco::taco: for creative support!
e285706022a3a65a,@Annette Rackley @Nicholas Turnquist @Will Wienckowski :taco: CF REQ &amp; Demo Agenda Prep
7869710dcb45da51,:birthday: _HAPPY BIRTHDAY_ :birthday:\n\nWishing you the best on your birthday and everything good in the year ahead!\n\n• @Kerry O'Neill (USA)
631ba03ec8f83e19,":taco::taco::taco::taco::taco: Huge shoutout to @Tracy Burns-Yocum! :rocket: I am still buzzing from our session on the ICS Bayesian notebooks. Thank you for not only giving me the technical tips to sharpen my inference but for creating the space for me to get creative with the solutions.\nIt’s exactly this kind of collaboration - where we can riff on ideas that makes this workspace so exciting! Plus, I can’t thank you enough for being so approachable and jumping on those ‘quick 5-minute’ huddles at a moment’s notice. You’re a total rockstar :you-rock-purple:!"
872719d1392273d9,kudos to @John Carney and @Tracy Burns-Yocum for helping get the IPD Health Dashboard data validation wrapped up :taco:
d7de6a0b35bdd12b,"I've been trying to keep the Concord-versary shout-outs specific to my direct reports, but I noticed that @Lindsey Peters &amp; @Luke Youtsey recently hit their 5-year marks, and that's pretty big for the Decision Science Team :raised_hands:\n\n:shootingstars: Happy Concord-versary to @Luke Youtsey who was one of the original HAWCs. In five years, he's become one of my most trusted Delivery Leads, taking over TurboTax &amp; helping it hit double-digit YoY revenue growth :money_srgrafo: He's also been a fantastic HAWC program leader &amp; plays an instrumental role in building the x-hive Decision Science practice areas :partywizard: Thank you for all you do!\n\n:shootingstars: Happy Concord-versary to @Lindsey Peters who grew into the project leadership role with Mint &amp; cemented her Delivery Leadership prowess at Kroger :teamwork: She was one of the first team members to volunteer for our DEI initiatives, and she's also well-known amongst the team as a developmental manager, always helping her DRs hit their growth goals :celebrationqq: Thank you for all you do!"
29728515d34cd092,:taco: :taco: @Joe Yack @Joe Allman Working the holiday to keep things moving.  TYTY!
9335351b2b35f830,@sergio.curay Awesome work improving Terraform and AWS pipeline for Gale Project
6d4844e8edf4e324,:partying_face: _Happy Concord Anniversary_ :partying_face:\n\nThank you for being such an amazing part of all that we do!\n\n• @Vivek Chavan (India) - 3 years\n• @rumyana.gareva (Bulgaria) - 3 years\n• Govind Bommena (India) - 3 years\n• @Amberlyn Etienne (USA) - 3 years
2e9449f30e363e11,@Travis McElhany Google summary for South Florida :ocean:  :taco:
fbc8bc4a063590af,@Lyubomir Polyanov leading an excellent refinement! :taco: :taco: :taco: :taco: :taco:
62ba744fcaa2c8de,@Leah Slate carpool karaoke with noah + w2 forms + w2 ready :taco: :taco:
9f36f6490e338393,:partying_face: _Happy Concord Anniversary_ :partying_face:\n\nThank you for being such an amazing part of all that we do!\n\n• @rossitsa.yaneva (Bulgaria) - 4 years
01d95c3ec3a5a871,@Angie @Reese Kling @Analeidi Barrera for coming prepared to our mid sprint check in meeting with great questions :taco:
ce5d5fc970600d07,@Jake Martens @yucheng.yang @Ellen Hortsch @Silas Rhyneer :taco:
7084e8a6c9bec94b,Shout out to the PTA team :usb: for their excellent work this past week on researching and documenting click tracking. This was an ad-hoc request with a tight turnaround and the team really shined. Thank you @Madison Wallace @Austin Carrill @Jack Poehlmann @Hal Robison Conrad @Sarah Powell :taco:
f4c6e8533fbd64c8,"Wanted to give a big shout out to @Sam Varón, @Steph Schaller, @Michelle Vega,  @Anna Trenary &amp; @Kristin Turner (and more) for the awesome work being done on Sally Beauty :sally-beauty:. Today they had their Q3 earnings call in which the CEO called out directly how the personalization efforts were driving revenue growth for the entire organization. In fact, the word ""Personalization"" was mentioned SIX times during the earnings call.\n\nFrom CEO: _""The combination of marketplaces, licensed colors on demand, and innovation, as well as personalization and enhanced performance marketing contributed approximately two ninety basis points of comp sales growth in the third quarter and two fifty points year to date""_\n\nFrom CFO: ""_Yeah, on the gross margin front in terms of Sally, very pleased with the performance there. I’m getting the planned and track the benefits  our field for growth effort in terms of how we’re redeploying that to drive that consistent traffic. It’s really our marketing efforts, CRM, our personalization, and then bringing innovation. So feel very good about continuing to maintain that profile as well as the traffic driving activities that we have that we’re deploying going forward.""_\n\nExcited for what this team can continue to accomplish as we finish out the FY and move into FY26 starting in October. Oh, and paired with the earnings call was a nice bump to their stock price as well :chart_with_upwards_trend:. Read the whole transcript here: <https://www.investing.com/news/transcripts/earnings-call-transcript-sally-beauty-q3-2025-beats-eps-forecast-stock-surges-93CH-4170774|Earnings Call Transcript :taco:"
fa8de61c058ffc70,@raul.pereda :taco: :taco: :taco: BR Support
48c6e11efa12de0d,:partying_face: _Happy Concord Anniversary_ :partying_face:\n\nThank you for being such an amazing part of all that we do!\n\n• @rebecca.weber (USA) - 7 years\n• @Tom Sievers (USA) - 5 years\n• @Marionellys mejia (USA) - 1 year\n• @Chandini Grewal (USA) - 1 year
